town,page,url,property_type,price,address,postal_code,city,bedrooms,bedroom1_surface,bedroom2_surface,bathrooms,toilets,surface_livable,terrace,terrace_surface,terrace_orientation,floor,year_built,condition,kitchen_equipment,cellar,glazing_type,elevator,entry_phone,epc_score,epc_total,epc_valid_until 
brussel,8,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc86319,Apartment,180 000 €,Avenue de la Reine 172 1000 Brussels,172,Brussels,2,18 m²,9 m²,1,2,72 m²,Yes,15 m²,South,1,1900,To renovate,Partially equipped,,Double glass,No,Yes,240 kWh/m²/year,17674 kWh/year,28/04/2033
brussel,8,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc86483,Apartment,795 000 €,Avenue de la Renaissance 21 1000 Brussels,21,Brussels,3,16 m²,13 m²,2,3,175 m²,Yes,19 m²,,7,1974,To be renovated,Super equipped,Yes,Double glass,Yes,Yes,177 kWh/m²/year,,16/05/2035
brussel,8,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc86919,Apartment,Make offer from 489 000 €,Rue du Châtelain 19 1000 Brussels,19,Brussels,3,16 m²,14 m²,1,2,115 m²,,,,4,,To renovate,,Yes,Double glass,Yes,Yes,226 kWh/m²/year,,
brussel,8,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc87159,Apartment,199 000 €,Avenue de la Reine 219 8 (4D) 1000 Brussels,219,Brussels,1,,,1,,71 m²,,,,3,,To renovate,,No,Double glass,Yes,Yes,430 kWh/m²/year,30595 kWh/year,
brussel,8,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc87161,Apartment,199 000 €,Avenue de la Reine 219 7 (4G) 1000 Brussels,219,Brussels,1,,,1,,72 m²,,,,4,,To renovate,,No,Double glass,Yes,Yes,420 kWh/m²/year,30090 kWh/year,
brussel,8,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc87314,Apartment,199 000 €,Rue aux Laines 75 1000 Brussels,75,Brussels,1,14 m²,,1,1,78 m²,,,,4,1933,Normal,Partially equipped,,Double glass,No,Yes,395 kWh/m²/year,19678 kWh/year,17/05/2032
brussel,8,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbc87323,Apartment,175 000 €,Avenue du Forum 1 1020 Laken,1,Laken,2,,,1,1,,Yes,20 m²,,1,1969,To be renovated,,No,,Yes,,185 kWh/m²/year,,11/04/2035
brussel,8,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbc87370,Apartment,210 000 €,1020 Laken,1020,Laken,2,,,,1,80 m²,Yes,2 m²,,11,1965,To be renovated,,No,,Yes,,131 kWh/m²/year,,10/09/2035
brussel,8,https://immovlan.be/en/detail/apartment/for-sale/1120/neder-over-heembeek/rbt66125,Apartment,265 000 €,Beukenootjesstraat 223 1120 Neder-Over-Heembeek,223,Neder-Over-Heembeek,2,,,1,,88 m²,Yes,,,3,2009,Normal,,No,Double glass,Yes,Yes,283 kWh/m²/year,,
brussel,8,https://immovlan.be/en/detail/apartment/for-sale/1120/neder-over-heembeek/rbt66126,Apartment,265 000 €,Beukenootjesstraat 223 1120 Neder-Over-Heembeek,223,Neder-Over-Heembeek,2,,,1,,88 m²,Yes,,,3,2009,Normal,,No,Double glass,Yes,Yes,283 kWh/m²/year,,
brussel,8,https://immovlan.be/en/detail/master-house/for-sale/1000/brussels/vbc85831,Master,5 000 000 €,1000 Brussels,1000,Brussels,4,,,,,,,,,,,,,,,,,,,
